target_name,target_classification,s_ra,s_dec,calib_level,t_min,t_exptime,classification_id
VXSGR,un1,272.016875,-22.22405555556,3,51423.78487758,130.0,0
POST-SAA-DARK,un2,270.6522210298,-22.90574704361,3,52443.59616898,486.71817,111
POST-SAA-DARK,un3,270.6489242952,-22.91469807537,3,52443.59615741,486.71817,166
POST-SAA-DARK,un4,270.6426723966,-22.92730099711,3,52443.59618056,486.71817,177
WR108,un5,271.3572916667,-23.00551944444,3,50218.48630135,0.4,188
WR108,un6,271.3572916667,-23.00551944444,3,50218.47935691,8.4,199
WR108,un7,271.3572916667,-23.00551944444,3,50218.48282913,2.0,210
WR108,un8,271.3572916667,-23.00551944444,3,50218.47935691,6.0,221
HD-164402,un9,270.476592167333,-22.7803028635543,2,58335.6571296296,1934.0,232
NONE,un10,270.4045264773,-22.72490878288,3,52898.9632897338,120.0,1
DARK,un11,270.4087541431,-22.72095569851,2,52898.9260445602,60.0,12
DARK,un12,270.4087541431,-22.72095569851,2,52898.9272482639,60.0,23
BIAS,un13,270.4045264773,-22.72490878288,3,52898.9703730671,0.0,34
BIAS,un14,270.4045264773,-22.72490878288,3,52898.981646412,0.0,45
BIAS,un15,270.4045264773,-22.72490878288,3,52898.9831741898,0.0,56
BIAS,un16,270.4045264773,-22.72490878288,3,52898.9839841782,0.0,67
BIAS,un17,270.4045264773,-22.72490878288,3,52898.9847019676,0.0,78
M20-TC1,un18,270.6132083333,-23.022825,3,52063.88628416,600.0,89
M20-TC1,un19,270.6132083333,-23.022825,3,52063.86822861,1600.0,100
M20-TC1,un20,270.6132083333,-23.022825,3,52063.86822861,400.0,112
M20-TC1,un21,270.6132083333,-23.022825,3,52063.87586749,520.0,123
M20-TC1,un22,270.6132083333,-23.022825,3,52063.89669938,80.0,134
HD164492A,un23,270.5975,-23.03158333333,3,52443.60366639,44.0,145
HD164492A,un24,270.5975,-23.03158333333,3,52443.60366639,126.6,156
HD164492A,un25,270.5975,-23.03158333333,3,52443.62033306,30.8,161
HD164492A,un26,270.5975,-23.03158333333,3,52443.61199972,30.8,162
HD164492A,un27,270.5975,-23.03158333333,3,52443.62866639,21.0,163
EARTH-CALIB,un28,270.5884611089,-23.0329727978,2,52095.5390609606,300.0,164
EARTH-CALIB,un29,270.5884611089,-23.0329727978,2,52122.9043391204,3.0,165
EARTH-CALIB,un30,270.5884611089,-23.0329727978,2,52122.9057280093,3.0,167
EARTH-CALIB,un31,270.5884611089,-23.0329727978,2,52122.908505787,14.0,168
EARTH-CALIB,un32,270.5884611089,-23.0329727978,2,52122.9098946759,14.0,169
EARTH-CALIB,un33,270.5884611089,-23.0329727978,2,52122.9126724537,2.0,170
EARTH-CALIB,un34,270.5884611089,-23.0329727978,2,52122.9140613426,2.0,171
HD164492A,un35,270.5975,-23.03158333333,3,52122.930728,30.8,172
HD164492A,un36,270.5975,-23.03158333333,3,52122.89183911,44.0,173
HD164492A,un37,270.5975,-23.03158333333,3,52095.50295128,400.0,174
HD164492A,un38,270.5975,-23.03158333333,3,52095.53142205,80.0,175
HD164492A,un39,270.5975,-23.03158333333,3,52095.50295128,1600.0,176
HD164492A,un40,270.5975,-23.03158333333,3,52095.51059017,520.0,178
HD164492A,un41,270.5975,-23.03158333333,3,52095.52100683,600.0,179
HD164492A,un42,270.5975,-23.03158333333,3,52122.94739467,21.0,180
HD164492A,un43,270.5975,-23.03158333333,3,52122.89183911,126.6,181
HD164492A,un44,270.5975,-23.03158333333,3,52122.93906133,30.8,182
EARTH-CALIB,un45,270.5884611089,-23.0329727978,2,52122.8987835648,0.3,183
EARTH-CALIB,un46,270.5884611089,-23.0329727978,2,52122.9001724537,0.3,184
EARTH-CALIB,un47,270.6226437742,-23.07831165906,2,50699.1105750347,14.0,185
EARTH-CALIB,un48,270.6226437742,-23.07831165906,2,50699.1119639236,14.0,186
EARTH-CALIB,un49,270.6226437742,-23.07831165906,2,50699.1140473032,1.6,187
EARTH-CALIB,un50,270.6226437742,-23.07831165906,2,50699.1154361458,1.6,189
EARTH-CALIB,un51,270.6226437742,-23.07831165906,2,50699.1175195255,2.0,190
EARTH-CALIB,un52,270.6226437742,-23.07831165906,2,50699.1189084144,2.0,191
EARTH-CALIB,un53,270.6226437742,-23.07831165906,2,50699.1779361921,0.5,192
