target_name,target_classification,s_ra,s_dec,calib_level,t_min,t_exptime,classification_id
NGC6853,STAR-PLANETARY-NEBULA-CENTRAL-ST,299.90155,22.7211399,1,49985.5932753819,148.0,11
NGC6853-528-REF,CALIBRATION-ASTROMETRIC-,299.88246,22.69632,1,49985.5949883912,145.0,2
NGC6853-484-REF,CALIBRATION-ASTROMETRIC-,299.85516,22.71597,1,49985.5966665856,115.0,2
NGC6853,STAR-PLANETARY-NEBULA-CENTRAL-ST,299.90155,22.7211399,1,49985.5979976042,112.95,11
NGC6853-527-REF,CALIBRATION-ASTROMETRIC-,299.89785,22.73475,1,49985.5993055208,122.0,2
NGC6853-291-REF,CALIBRATION-ASTROMETRIC-,299.90646,22.73081,1,49985.6007175116,140.0,2
NGC6853,STAR-PLANETARY-NEBULA-CENTRAL-ST,299.90155,22.7211399,1,49985.6023378819,112.0,11
NGC6853-299-REF,CALIBRATION-ASTROMETRIC-,299.93004,22.7458,1,49985.6036341782,105.95,2
NGC6853-246-REF,CALIBRATION-ASTROMETRIC-,299.95137,22.73506,1,49985.6048610764,113.0,2
NGC6853,STAR-PLANETARY-NEBULA-CENTRAL-ST,299.90155,22.7211399,1,49985.6061689005,122.0,11
NGC6853-631-REF,CALIBRATION-ASTROMETRIC-,299.92215,22.73236,1,49985.6075809838,125.0,2
NGC6853-528-REF,CALIBRATION-ASTROMETRIC-,299.88246,22.69632,1,49985.6090276968,155.95,2
NGC6853,STAR-PLANETARY-NEBULA-CENTRAL-ST,299.90155,22.7211399,1,49985.6108332986,119.0,11
NGC6853-484-REF,CALIBRATION-ASTROMETRIC-,299.85516,22.71597,1,49985.6122106134,108.0,2
NGC6853-299-REF,CALIBRATION-ASTROMETRIC-,299.93004,22.7458,1,49985.6134606134,119.0,2
NGC6853-246-REF,CALIBRATION-ASTROMETRIC-,299.95137,22.73506,1,49985.6148378819,112.95,2
NGC6853,STAR-PLANETARY-NEBULA-CENTRAL-ST,299.90155,22.7211399,1,49985.6161457986,121.95,11
NGC6853,STAR-PLANETARY-NEBULA-CENTRAL-ST,299.90155,22.7211399,1,50018.0348957986,147.95,11
NGC6853-528-REF,CALIBRATION-ASTROMETRIC-,299.88246,22.69632,1,50018.0366086806,144.95,2
NGC6853-484-REF,CALIBRATION-ASTROMETRIC-,299.85516,22.71597,1,50018.0382870023,114.95,2
NGC6853,STAR-PLANETARY-NEBULA-CENTRAL-ST,299.90155,22.7211399,1,50018.0396180208,112.95,11
NGC6853-527-REF,CALIBRATION-ASTROMETRIC-,299.89785,22.73475,1,50018.0409258912,121.95,2
NGC6853-291-REF,CALIBRATION-ASTROMETRIC-,299.90646,22.73081,1,50018.0423378819,139.95,2
NGC6853,STAR-PLANETARY-NEBULA-CENTRAL-ST,299.90155,22.7211399,1,50018.0439582986,111.95,11
NGC6853-299-REF,CALIBRATION-ASTROMETRIC-,299.93004,22.7458,1,50018.0452545949,105.95,2
NGC6853-246-REF,CALIBRATION-ASTROMETRIC-,299.95137,22.73506,1,50018.0464814005,112.95,2
NGC6853,STAR-PLANETARY-NEBULA-CENTRAL-ST,299.90155,22.7211399,1,50018.0477893171,121.95,11
NGC6853-631-REF,CALIBRATION-ASTROMETRIC-,299.92215,22.73236,1,50018.0492013079,124.95,2
NGC6853-528-REF,CALIBRATION-ASTROMETRIC-,299.88246,22.69632,1,50018.0506481134,155.95,2
NGC6853,STAR-PLANETARY-NEBULA-CENTRAL-ST,299.90155,22.7211399,1,50018.052453588,118.95,11
NGC6853-484-REF,CALIBRATION-ASTROMETRIC-,299.85516,22.71597,1,50018.0538309838,107.95,2
NGC6853-299-REF,CALIBRATION-ASTROMETRIC-,299.93004,22.7458,1,50018.0550809838,118.95,2
NGC6853-246-REF,CALIBRATION-ASTROMETRIC-,299.95137,22.73506,1,50018.0564582986,112.95,2
NGC6853,STAR-PLANETARY-NEBULA-CENTRAL-ST,299.90155,22.7211399,1,50018.057766169,121.95,11
NGC6853,STAR-PLANETARY-NEBULA-CENTRAL-ST,299.90155,22.7211399,1,50021.3183448727,147.95,11
NGC6853-528-REF,CALIBRATION-ASTROMETRIC-,299.88246,22.69632,1,50021.3200577894,144.95,2
NGC6853-484-REF,CALIBRATION-ASTROMETRIC-,299.85516,22.71597,1,50021.3217360764,114.95,2
NGC6853,STAR-PLANETARY-NEBULA-CENTRAL-ST,299.90155,22.7211399,1,50021.3230670949,112.95,11
NGC6853-527-REF,CALIBRATION-ASTROMETRIC-,299.89785,22.73475,1,50021.3243748843,121.95,2
NGC6853-291-REF,CALIBRATION-ASTROMETRIC-,299.90646,22.73081,1,50021.3257870023,139.95,2
NGC6853,STAR-PLANETARY-NEBULA-CENTRAL-ST,299.90155,22.7211399,1,50021.3274073727,111.95,11
NGC6853-299-REF,CALIBRATION-ASTROMETRIC-,299.93004,22.7458,1,50021.328703588,105.95,2
NGC6853-246-REF,CALIBRATION-ASTROMETRIC-,299.95137,22.73506,1,50021.3299305208,112.95,2
NGC6853,STAR-PLANETARY-NEBULA-CENTRAL-ST,299.90155,22.7211399,1,50021.3312383912,121.95,11
NGC6853-631-REF,CALIBRATION-ASTROMETRIC-,299.92215,22.73236,1,50021.3326503819,124.95,2
