target_name,target_classification,s_ra,s_dec,calib_level,t_min,t_exptime,classification_id
TESS FFI,un1,297.811762138338,22.6021375353836,3,59419.4897034491,475.199767,0
TESS FFI,un2,298.443061181628,27.9460568452277,3,59769.3986263657,475.199781,91
TESS FFI,un3,304.288558189115,18.7133442230399,3,60506.0504641898,158.399927,102
1849363609,un4,299.901513371827,22.7211978791606,3,59419.4924706134,120.0,113
1849363609,un5,299.901513371827,22.7211978791606,3,59769.4017915162,120.0,124
DARK,un6,300.0898457771,22.69598220451,1,59932.2775084491,1000.5,135
NGC6853,un7,299.9016666667,22.72111111111,3,50021.99325161,38.0,146
NGC6853,un8,299.9016666667,22.72111111111,3,50021.9883905,130.0,157
NGC6853,un9,299.9016666667,22.72111111111,3,50021.9883905,168.0,168
NGC6853-CENSTAR,un10,299.901541666667,22.7211388902203,2,52021.6640046296,5167.0,1
DARK,un11,299.8878749955,22.72032084557,2,52232.3369795486,1800.0,12
DARK,un12,299.8878749955,22.72032084557,2,52232.4050351042,1800.0,23
DARK,un13,299.8878749955,22.72032084557,2,52232.2862851042,1000.0,34
BIAS,un14,299.8878749955,22.72032084557,2,52232.2168406597,0.0,45
BIAS,un15,299.8878749955,22.72032084557,2,52232.2182295486,0.0,56
BIAS,un16,299.8878749955,22.72032084557,2,52232.2196184375,0.0,67
BIAS,un17,299.8878749955,22.72032084557,2,52232.2210073264,0.0,78
INTFLAT,un18,299.8878749955,22.72032084557,2,52232.2230906597,10.0,89
INTFLAT,un19,299.8878749955,22.72032084557,2,52232.2244795486,10.0,90
BIAS,un20,299.8878749955,22.72032084557,2,52232.2258684375,0.0,92
BIAS,un21,299.8878749955,22.72032084557,2,52232.2272573264,0.0,93
BIAS,un22,299.8878749955,22.72032084557,2,52232.2286462153,0.0,94
BIAS,un23,299.8878749955,22.72032084557,2,52232.2300351042,0.0,95
INTFLAT,un24,299.8878749955,22.72032084557,2,52232.2314239931,20.0,96
INTFLAT,un25,299.8878749955,22.72032084557,2,52232.2328128819,20.0,97
NGC6853,un26,299.8854166667,22.71972222222,3,52232.23767544,8600.0,98
NGC6853,un27,299.8854166667,22.71972222222,3,52232.36892545,1000.0,99
NGC6853,un28,299.8854166667,22.71972222222,3,50043.29811417,2000.0,100
NGC6853,un29,299.8854166667,22.71972222222,3,50043.29811417,2000.0,101
NGC6853,un30,299.8854166667,22.71972222222,3,52232.23767544,2400.0,103
NGC6853,un31,299.8854166667,22.71972222222,3,52232.30225878,2400.0,104
NGC6853,un32,299.8854166667,22.71972222222,3,52232.39461989,2000.0,105
NGC6853,un33,299.8854166667,22.71972222222,3,52232.38003656,800.0,106
NGC6853,un34,299.902291667333,22.7133888902202,2,56542.3654861111,2527.616,107
BIAS,un35,300.0900594966,22.72506803719,1,55155.1391878125,0.0,108
DARK,un36,300.0900594966,22.72506803719,1,55155.1407733796,1040.0,109
BIAS,un37,300.090060228,22.72506792956,1,55155.1115952199,0.0,110
DARK,un38,300.090060228,22.72506792956,1,55155.113180787,1040.0,111
BIAS,un39,300.0898457771,22.69598220451,1,59932.2758647338,0.0,112
WAVE,un1,276.1454716718,-24.87770847143,2,55051.5319334143,120.032,0
MESSIER-028,un2,276.1351404167,-24.87138888889,3,54625.66339655,3345.5,91
MESSIER-028,un3,276.1351404167,-24.87138888889,3,54625.6883951,820.0,102
MESSIER-028,un4,276.1351404167,-24.87138888889,3,54625.66339655,4165.5,113
MESSIER-028,un5,276.1351404167,-24.87138888889,3,54627.46200769,1200.0,124
MESSIER-028,un6,276.1351404167,-24.87138888889,3,54627.67450625,640.0,135
MESSIER-028,un7,276.1351404167,-24.87138888889,3,54627.48700625,500.0,146
MESSIER-028,un8,276.1351404167,-24.87138888889,3,54627.46200769,2340.0,157
NGC6626-M28,un9,276.1370833333,-24.86972222222,3,54928.67861792,2400.0,168
NGC6626-M28,un10,276.1370833333,-24.86972222222,3,54928.56125681,3600.0,1
NGC6626-M28,un11,276.1370833333,-24.86972222222,3,54928.4876457,2460.0,12
NGC6626-M28,un12,276.1370833333,-24.86972222222,3,54928.48139425,161.0,23
NGC6626-M28,un13,276.1370833333,-24.86972222222,3,54928.48139425,8621.0,34
NGC6626,un14,276.1370833333,-24.87,3,50703.59460289,1127.8,45
NGC6626,un15,276.1370833333,-24.87,3,50703.51543622,1507.8,56
NGC6626,un16,276.1370833333,-24.87,3,50703.51543622,2635.6,67
NGC6626,un17,276.1370833333,-24.87,3,50668.14876852,424.0,78
NGC6626,un18,276.1370833333,-24.87,3,50668.21682408,423.0,89
NGC6626,un19,276.1370833333,-24.87,3,50668.14876852,847.0,90
DARK,un20,276.1277752376,-24.86911989257,2,50668.1126574074,1000.0,92
TUNGSTEN,un21,276.1454716718,-24.87770847143,2,55051.7055857639,1.0,93
BIAS,un22,276.1454716718,-24.87770847143,1,55051.2429821759,0.0,94
