target_name,target_classification,s_ra,s_dec,calib_level,t_min,t_exptime,classification_id
IC-3583,GALAXY-AMORPHOUS-IRREGULAR,189.1825067,13.25920278,3,56246.13574,820,0
IC-3583,GALAXY-AMORPHOUS-IRREGULAR,189.1825067,13.25920278,3,56254.12933,820,0
IC-3583,GALAXY-AMORPHOUS-IRREGULAR,189.1825067,13.25920278,3,56246.13574,1640,0
IC-3583,GALAXY-AMORPHOUS-IRREGULAR,189.1825067,13.25920278,3,56254.12109,1858,0
IC-3583,GALAXY-AMORPHOUS-IRREGULAR,189.1825067,13.25920278,3,56246.1275,1038,0
IC-3583,GALAXY-AMORPHOUS-IRREGULAR,189.1825067,13.25920278,3,56246.1275,1858,0
IC-3583,GALAXY-AMORPHOUS-IRREGULAR,189.1825067,13.25920278,3,56254.12109,1038,0
IC-3583,GALAXY-AMORPHOUS-IRREGULAR,189.1825067,13.25920278,3,56246.1275,2076,0
IC-3583,GALAXY-AMORPHOUS-IRREGULAR,189.1825067,13.25920278,3,56246.1275,1038,0
IC-3583,GALAXY-AMORPHOUS-IRREGULAR,189.1825067,13.25920278,3,56246.13574,820,0
IC-3583,GALAXY-AMORPHOUS-IRREGULAR,189.1825067,13.25920278,3,56254.12109,1038,0
IC-3583,GALAXY-AMORPHOUS-IRREGULAR,189.1825067,13.25920278,3,56254.12933,820,0
NGC4569,GALAXY-BULGE,189.2085513,13.17093093,3,54547.12728,1200,1
NGC4569,GALAXY-BULGE,189.2085513,13.17093093,3,54547.14326,1200,1
NGC4569,GALAXY-BULGE,189.2085513,13.17093093,3,54547.19395,1200,1
NGC4569,GALAXY-BULGE,189.2085513,13.17093093,3,54547.20992,1200,1
NGC4569-HALPHA,GALAXY-DISK-SPIRAL-STAR-FORMING-REGION,189.2076,13.16286944,3,60297.06695,2245,2
NGC4569-HALPHA,GALAXY-DISK-SPIRAL-STAR-FORMING-REGION,189.2076,13.16286944,3,60297.06695,2245,2
NGC4569-HALPHA,GALAXY-DISK-SPIRAL-STAR-FORMING-REGION,189.2076,13.16286944,3,60297.06695,2245,2
NGC4569,GALAXY-LINER-NUCLEUS,189.2073458,13.16278889,1,52016.5554,10.1,3
NGC4569,GALAXY-LINER-NUCLEUS,189.2073458,13.16278889,3,52016.56026,2349,3
NGC4569,GALAXY-LINER-NUCLEUS,189.2073458,13.16278889,3,52016.62057,2861,3
NGC4569,GALAXY-NUCLEUS-LINER,189.2081667,13.16238889,3,52458.14816,60,4
NGC4569,GALAXY-NUCLEUS-LINER,189.2081667,13.16238889,3,52458.15024,60,4
NGC4569,GALAXY-NUCLEUS-LINER,189.2081667,13.16238889,3,52458.14816,120,4
NGC4569,GALAXY-NUCLEUS-LINER,189.2081667,13.16238889,3,52672.60933,60,4
NGC4569,GALAXY-NUCLEUS-LINER,189.2081667,13.16238889,3,52672.61141,60,4
NGC4569,GALAXY-NUCLEUS-LINER,189.2081667,13.16238889,3,52672.60933,120,4
NGC4569,GALAXY-NUCLEUS-LINER,189.2081667,13.16238889,3,52729.87063,60,4
NGC4569,GALAXY-NUCLEUS-LINER,189.2081667,13.16238889,3,52729.87271,60,4
NGC4569,GALAXY-NUCLEUS-LINER,189.2081667,13.16238889,3,52729.87063,120,4
NGC4569,GALAXY-NUCLEUS-LINER,189.2081667,13.16238889,3,52758.02055,60,4
NGC4569,GALAXY-NUCLEUS-LINER,189.2081667,13.16238889,3,52758.02263,60,4
NGC4569,GALAXY-NUCLEUS-LINER,189.2081667,13.16238889,3,52758.02055,120,4
NGC4569,GALAXY-NUCLEUS-LINER,189.2081667,13.16238889,3,52458.14816,240,4
NGC4569,GALAXY-NUCLEUS-LINER,189.2081667,13.16238889,3,52458.15024,240,4
NGC4569,GALAXY-NUCLEUS-LINER,189.2081667,13.16238889,3,52458.14816,60,4
NGC4569,GALAXY-NUCLEUS-LINER,189.2081667,13.16238889,3,52458.15024,60,4
NGC4569,GALAXY-NUCLEUS-LINER,189.2081667,13.16238889,3,52672.60933,60,4
NGC4569,GALAXY-NUCLEUS-LINER,189.2081667,13.16238889,3,52672.61141,60,4
NGC4569,GALAXY-NUCLEUS-LINER,189.2081667,13.16238889,3,52729.87063,60,4
NGC4569,GALAXY-NUCLEUS-LINER,189.2081667,13.16238889,3,52729.87271,60,4
NGC4569,GALAXY-NUCLEUS-LINER,189.2081667,13.16238889,3,52758.02055,60,4
NGC4569,GALAXY-NUCLEUS-LINER,189.2081667,13.16238889,3,52758.02263,60,4
NGC4569,GALAXY-NUCLEUS-LINER,189.2081667,13.16238889,3,52458.14816,240,4
NGC4569,GALAXY-NUCLEUS-LINER,189.2081667,13.16238889,3,52458.15024,240,4
NGC-4569,GALAXY-SPIRAL,189.2077083,13.16333333,3,58834.80284,2190,5
NGC-4569,GALAXY-SPIRAL,189.2077083,13.16333333,3,58834.79663,1110,5
NGC-4569,GALAXY-SPIRAL,189.2077083,13.16333333,3,58834.79076,1050,5
NGC-4569,GALAXY-SPIRAL,189.2077083,13.16333333,3,58834.81313,670,5
NGC-4569,GALAXY-SPIRAL,189.2077083,13.16333333,3,58834.78587,830,5
NGC-4569,GALAXY-SPIRAL,189.2077083,13.16333333,3,58834.78587,5850,5
NGC-4569,GALAXY-SPIRAL,189.2077083,13.16333333,3,60645.05406,2212,5
NGC-4569,GALAXY-SPIRAL,189.2077083,13.16333333,3,60645.05406,2212,5
NGC-4569,GALAXY-SPIRAL,189.2077083,13.16333333,3,58834.80284,2190,5
NGC-4569,GALAXY-SPIRAL,189.2077083,13.16333333,3,58834.79663,1110,5
NGC-4569,GALAXY-SPIRAL,189.2077083,13.16333333,3,58834.79076,1050,5
NGC-4569,GALAXY-SPIRAL,189.2077083,13.16333333,3,58834.81313,670,5
NGC-4569,GALAXY-SPIRAL,189.2077083,13.16333333,3,60645.05406,2212,5
NGC-4569,GALAXY-SPIRAL,189.2077083,13.16333333,3,58834.78587,830,5
NGC-4569,GALAXY-SPIRAL,189.2077083,13.16333333,3,58834.78587,1093,5
NGC-4569,GALAXY-SPIRAL,189.2077083,13.16333333,3,58834.79076,1050,5
NGC-4569,GALAXY-SPIRAL,189.2077083,13.16333333,3,58834.79663,1110,5
NGC-4569,GALAXY-SPIRAL,189.2077083,13.16333333,3,58834.80284,2190,5
NGC-4569,GALAXY-SPIRAL,189.2077083,13.16333333,3,58834.81313,670,5
NGC-4569,GALAXY-SPIRAL,189.2078344,13.16302134,3,60645.05406,2212,5
NGC4569,GALAXY-SPIRAL,189.2079143,13.16345683,3,50640.99768,384,5
NGC4569,GALAXY-SPIRAL,189.2076436,13.16200931,3,52664.09172,639.875976,5
NGC4569,GALAXY-SPIRAL,189.2076436,13.16200931,3,52664.09382,767.906982,5
NGC4569,GALAXY-SPIRAL,189.207638,13.16201579,3,52664.09632,95.876,5
NGC4569,GALAXY-SPIRAL,189.2034091,13.17032455,3,49482.25854,60,5
NGC4569,GALAXY-SPIRAL,189.2034091,13.17032455,3,49482.26062,230,5
NGC4569,GALAXY-SPIRAL,189.2034091,13.17032455,3,49482.26548,230,5
NGC4569,GALAXY-SPIRAL,189.2034091,13.17032455,3,49482.27104,60,5
NGC4569,GALAXY-SPIRAL,189.2034091,13.17032455,3,49482.27312,230,5
NGC4569,GALAXY-SPIRAL,189.2034091,13.17032455,3,49482.27798,230,5
NGC4569,GALAXY-SPIRAL,189.2023704,13.16992143,3,50550.55573,500,5
NGC4569,GALAXY-SPIRAL,189.2023704,13.16992143,3,50550.56336,500,5
NGC4569,GALAXY-SPIRAL,189.2023704,13.16992143,3,50550.5717,300,5
NGC4569,GALAXY-SPIRAL,189.2023704,13.16992143,3,50550.57725,300,5
NGC4569,GALAXY-SPIRAL,189.2023704,13.16992143,3,50550.58281,60,5
NGC4569,GALAXY-SPIRAL,189.2023704,13.16992143,3,50550.58489,60,5
NGC4569,GALAXY-SPIRAL,189.2023704,13.16992143,3,50550.6217,6,5
NGC4569,GALAXY-SPIRAL,189.2023704,13.16992143,3,50550.62378,6,5
NGC4569,GALAXY-SPIRAL,189.2023704,13.16992143,3,50550.62517,60,5
NGC4569,GALAXY-SPIRAL,189.2023704,13.16992143,3,50550.62725,60,5
NGC4569,GALAXY-SPIRAL,189.2023704,13.16992143,3,50550.62934,300,5
NGC4569,GALAXY-SPIRAL,189.2023704,13.16992143,3,50550.63489,300,5
NGC4569,GALAXY-SPIRAL,189.2023704,13.16992143,3,50550.64114,400,5
NGC4569,GALAXY-SPIRAL,189.2023704,13.16992143,3,50550.64739,400,5
NGC4569,GALAXY-SPIRAL,189.21615,13.16243129,3,51949.7196,160,5
NGC4569,GALAXY-SPIRAL,189.21615,13.16243129,3,51949.72238,400,5
UGC7786,GALAXY-SPIRAL,189.2081667,13.16238889,2,49168.15794,595.75,5
NGC-4569,GALAXY-SPIRAL,189.2077083,13.16333333,3,58834.79663,1110,5
NGC-4569,GALAXY-SPIRAL,189.2077083,13.16333333,3,58834.80284,2190,5
NGC-4569,GALAXY-SPIRAL,189.2077083,13.16333333,3,58834.79076,1050,5
NGC-4569,GALAXY-SPIRAL,189.2077083,13.16333333,3,58834.81313,670,5
NGC-4569,GALAXY-SPIRAL,189.2077083,13.16333333,3,58834.78587,830,5
NGC-4569,GALAXY-SPIRAL,189.2077083,13.16333333,3,60645.05406,2212,5
NGC4569,GALAXY-SPIRALLINER,189.2077195,13.1624374,1,50184.4247,9,6
NGC4569,GALAXY-SPIRALLINER,189.2075417,13.16272222,2,50184.48648,2369.981445,6
NGC4569,GALAXY-SPIRALLINER,189.2075417,13.16272222,2,50184.55281,2419.950195,6
NGC4569,GALAXY-SPIRALLINER,189.2075417,13.16272222,2,50184.62129,1320,6
NGC4569,GALAXY-SPIRALLINER,189.2075417,13.16272222,2,50184.64201,689.9953003,6
NGC4569,GALAXY-SPIRALLINER,189.2075092,13.16259246,1,50184.43902,200,6
NGC4569,GALAXY-SPIRALLINER,189.2072151,13.16242977,1,50184.4305,60,6
NGC4569,GALAXY-SPIRALLINER-NUCLEUS,189.2156851,13.15964446,3,49704.94256,700,7
NGC4569,GALAXY-SPIRALLINER-NUCLEUS,189.2156851,13.15964446,3,49704.95228,700,7
NGC4569,GALAXY-SPIRALLINER-NUCLEUS,189.2156851,13.15964446,3,49704.9627,230,7
IPTF13BDL,GALAXY-UNDESIGNATED,189.2339167,13.12930556,3,58481.10931,2180,8
IPTF13BDL,GALAXY-UNDESIGNATED,189.2339167,13.12930556,3,58481.10931,2180,8
IPTF13BDL,GALAXY-UNDESIGNATED,189.2339167,13.12930556,3,58481.10931,2180,8
IPTF13BDL,GALAXY-UNDESIGNATED,189.2339167,13.12930556,3,58481.10931,2180,8
IPTF13BDL,GALAXY-UNDESIGNATED,189.2339167,13.12930556,3,58481.10931,2180,8
IPTF13BDL,GALAXY-UNDESIGNATED,189.2339167,13.12930556,3,58481.10931,2180,8
IPTF13BDL,GALAXY-UNDESIGNATED,189.2339167,13.12930556,3,58481.10931,2180,8
ANY,UNIDENTIFIED-PARALLEL-FIELD,189.2371458,13.06889278,3,58834.7865,3554,9
ANY,UNIDENTIFIED-PARALLEL-FIELD,189.2371458,13.06889278,3,58834.80327,3215,9
ANY,UNIDENTIFIED-PARALLEL-FIELD,189.2369534,13.06935794,3,58834.7865,3554,9
ANY,UNIDENTIFIED-PARALLEL-FIELD,189.2369534,13.06935794,3,58834.7865,3554,9
ANY,UNIDENTIFIED-PARALLEL-FIELD,189.2371458,13.06889278,3,58834.80327,3215,9
ANY,UNIDENTIFIED-PARALLEL-FIELD,189.2371458,13.06889278,3,58834.80327,3215,9
ANY,UNIDENTIFIED-PARALLEL-FIELD,189.2371458,13.06889278,3,58834.7865,6769,9
